Company,Model,Horsepower,Torque,Transmission Type,Drivetrain,Fuel Economy,Number of Doors,Price,Model Year Range,Body Type,Engine Type,Number of Cylinders
Alfa Romeo,Stelvio,280 hp,306 lb-ft,8-speed automatic,All-wheel drive,21/27 mpg,5,"Starting at $41,900",2023-2024,SUV,4-cylinder,4
Alfa Romeo,Stelvio Quadrifoglio,505 hp,443 lb-ft,8-speed automatic,All-wheel drive,18/23 mpg,5,"Starting at $79,900",2023-2024,SUV,V6,6
Peugeot,208,108 hp,138 lb-ft,5-speed manual,Front-wheel drive,27/37 mpg,5,"Starting at $18,000",2023-2024,Hatchback,3-cylinder,3
Peugeot,2008,175 hp,195 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $24,000",2023-2024,SUV,3-cylinder,3
Peugeot,308,158 hp,184 lb-ft,8-speed automatic,Front-wheel drive,27/37 mpg,5,"Starting at $26,000",2023-2024,Sedan,4-cylinder,4
Peugeot,3008,180 hp,199 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $30,000",2023-2024,SUV,4-cylinder,4
Peugeot,508,272 hp,332 lb-ft,8-speed automatic,Rear-wheel drive,22/30 mpg,5,"Starting at $34,000",2023-2024,Sedan,V6,6
Peugeot,5008,180 hp,199 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,7,"Starting at $36,000",2023-2024,SUV,4-cylinder,4
Citroën,C1,70 hp,74 lb-ft,5-speed manual,Front-wheel drive,32.5/42.5 mpg,3,"Starting at $15,490",2023-2024,Hatchback,3-cylinder,3
Citroën,C3,109 hp,122 lb-ft,5-speed manual,Front-wheel drive,30.1/40.9 mpg,5,"Starting at $18,990",2023-2024,Hatchback,3-cylinder,3
Citroën,C3 Aircross,119 hp,138 lb-ft,8-speed automatic,Front-wheel drive,27/38 mpg,5,"Starting at $23,990",2023-2024,SUV,3-cylinder,3
Citroën,C4,153 hp,170 lb-ft,8-speed automatic,Front-wheel drive,28/39 mpg,5,"Starting at $24,990",2023-2024,Sedan,4-cylinder,4
Citroën,C5 Aircross,175 hp,195 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $28,990",2023-2024,SUV,4-cylinder,4
Renault,Arkana,148 hp,162 lb-ft,7-speed DCT,Front-wheel drive,26/35 mpg,5,"Starting at $27,990",2023-2024,SUV,4-cylinder,4
Renault,Captur,154 hp,184 lb-ft,7-speed DCT,Front-wheel drive,28/38 mpg,5,"Starting at $23,990",2023-2024,SUV,4-cylinder,4
Renault,Clio,138 hp,148 lb-ft,6-speed manual,Front-wheel drive,30.1/40.9 mpg,5,"Starting at $22,990",2023-2024,Hatchback,4-cylinder,4
Renault,Megane,188 hp,221 lb-ft,7-speed DCT,Front-wheel drive,28/38 mpg,5,"Starting at $26,990",2023-2024,Sedan,4-cylinder,4
Renault,Zoe,134 hp,184 lb-ft,Single-speed automatic,Rear-wheel drive,119 MPGe,5,"Starting at $29,990",2023-2024,Hatchback,Electric,0
Skoda,Fabia,95 hp,118 lb-ft,5-speed manual,Front-wheel drive,28/39 mpg,5,"Starting at $17,990",2023-2024,Hatchback,3-cylinder,3
Skoda,Scala,110 hp,148 lb-ft,6-speed manual,Front-wheel drive,28/39 mpg,5,"Starting at $22,990",2023-2024,Hatchback,4-cylinder,4
Skoda,Octavia,148 hp,184 lb-ft,7-speed DSG,Front-wheel drive,28/39 mpg,5,"Starting at $26,990",2023-2024,Sedan,4-cylinder,4
Skoda,Superb,188 hp,221 lb-ft,7-speed DSG,Front-wheel drive,25/33 mpg,5,"Starting at $32,990",2023-2024,Sedan,4-cylinder,4
Skoda,Karoq,148 hp,184 lb-ft,7-speed DSG,Front-wheel drive,25/33 mpg,5,"Starting at $27,990",2023-2024,SUV,4-cylinder,4
Skoda,Kodiaq,188 hp,221 lb-ft,7-speed DSG,Front-wheel drive,21/28 mpg,7,"Starting at $32,990",2023-2024,SUV,4-cylinder,4
Skoda,Enyaq iV,201 hp,221 lb-ft,Single-speed automatic,Rear-wheel drive,77 MPGe,5,"Starting at $39,990",2023-2024,SUV,Electric,0
SEAT,Arona,110 hp,148 lb-ft,6-speed manual,Front-wheel drive,28/39 mpg,5,"Starting at $22,990",2023-2024,SUV,4-cylinder,4
SEAT,Ibiza,110 hp,148 lb-ft,6-speed manual,Front-wheel drive,28/39 mpg,5,"Starting at $19,990",2023-2024,Hatchback,4-cylinder,4
SEAT,Leon,148 hp,184 lb-ft,7-speed DSG,Front-wheel drive,28/39 mpg,5,"Starting at $26,990",2023-2024,Sedan,4-cylinder,4
SEAT,Leon Sportstourer,148 hp,184 lb-ft,7-speed DSG,Front-wheel drive,28/39 mpg,5,"Starting at $28,990",2023-2024,Wagon,4-cylinder,4
SEAT,Tarraco,188 hp,221 lb-ft,7-speed DSG,Front-wheel drive,21/28 mpg,7,"Starting at $32,990",2023-2024,SUV,4-cylinder,4
SEAT,Mii,70 hp,74 lb-ft,5-speed manual,Front-wheel drive,32.5/42.5 mpg,3,"Starting at $15,490",2023-2024,Hatchback,3-cylinder,3
SEAT,Born,201 hp,221 lb-ft,Single-speed automatic,Rear-wheel drive,77 MPGe,5,"Starting at $39,990",2023-2024,Hatchback,Electric,0
Opel/Vauxhall,Adam,70 hp,74 lb-ft,5-speed manual,Front-wheel drive,32.5/42.5 mpg,3,"Starting at $15,490",2023-2024,Hatchback,3-cylinder,3
Opel/Vauxhall,Corsa,108 hp,138 lb-ft,5-speed manual,Front-wheel drive,27/37 mpg,5,"Starting at $18,000",2023-2024,Hatchback,3-cylinder,3
Opel/Vauxhall,Astra,158 hp,184 lb-ft,8-speed automatic,Front-wheel drive,27/37 mpg,5,"Starting at $26,000",2023-2024,Sedan,4-cylinder,4
Opel/Vauxhall,Insignia,272 hp,332 lb-ft,8-speed automatic,Rear-wheel drive,22/30 mpg,5,"Starting at $34,000",2023-2024,Sedan,V6,6
Opel/Vauxhall,Mokka,175 hp,195 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $24,000",2023-2024,SUV,3-cylinder,3
Opel/Vauxhall,Grandland,180 hp,199 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $30,000",2023-2024,SUV,4-cylinder,4
Opel/Vauxhall,Crossland,119 hp,138 lb-ft,8-speed automatic,Front-wheel drive,27/38 mpg,5,"Starting at $23,990",2023-2024,SUV,3-cylinder,3
Opel/Vauxhall,Combo,108 hp,138 lb-ft,5-speed manual,Front-wheel drive,27/37 mpg,5,"Starting at $18,000",2023-2024,Van,3-cylinder,3
Opel/Vauxhall,Vivaro,148 hp,184 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $27,990",2023-2024,Van,4-cylinder,4
Opel/Vauxhall,Movano,180 hp,199 lb-ft,8-speed automatic,Front-wheel drive,21/28 mpg,7,"Starting at $32,990",2023-2024,Van,4-cylinder,4
Mini,Cooper,134 hp,162 lb-ft,7-speed dual-clutch automatic,Front-wheel drive,28/37 mpg,3,"Starting at $24,000",2023-2024,Hatchback,3-cylinder,3
Mini,Cooper S,189 hp,207 lb-ft,7-speed dual-clutch automatic,Front-wheel drive,27/36 mpg,3,"Starting at $28,000",2023-2024,Hatchback,4-cylinder,4
Mini,John Cooper Works,228 hp,236 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,3,"Starting at $33,000",2023-2024,Hatchback,4-cylinder,4
Mini,Cooper SE,181 hp,199 lb-ft,Single-speed automatic,Rear-wheel drive,119 MPGe,5,"Starting at $30,000",2023-2024,Hatchback,Electric,0
Mini,Countryman,189 hp,207 lb-ft,7-speed dual-clutch automatic,Front-wheel drive,24/31 mpg,5,"Starting at $29,000",2023-2024,SUV,4-cylinder,4
Mini,Clubman,189 hp,207 lb-ft,7-speed dual-clutch automatic,All-wheel drive,24/31 mpg,5,"Starting at $32,000",2023-2024,Wagon,4-cylinder,4
Mini,Paceman,189 hp,207 lb-ft,7-speed dual-clutch automatic,All-wheel drive,24/31 mpg,5,"Starting at $33,000",2023-2024,SUV,4-cylinder,4
Mini,Countryman John Cooper Works,301 hp,332 lb-ft,8-speed automatic,All-wheel drive,22/29 mpg,5,"Starting at $40,000",2023-2024,SUV,4-cylinder,4
Saab,9-5,250 hp,273 lb-ft,6-speed automatic,Front-wheel drive,19/28 mpg,4,"Starting at $37,990",2011,Sedan,turbocharged inline-4,4
Saab,9-3,227 hp,236 lb-ft,6-speed automatic,Front-wheel drive,20/29 mpg,4,"Starting at $32,990",2011,Sedan,turbocharged inline-4,4
Saab,9-3 Convertible,227 hp,236 lb-ft,6-speed automatic,Front-wheel drive,19/28 mpg,2,"Starting at $39,990",2011,Convertible,turbocharged inline-4,4
Saab,9-5 SportCombi,250 hp,273 lb-ft,6-speed automatic,All-wheel drive,18/26 mpg,5,"Starting at $42,990",2011,Wagon,turbocharged inline-4,4
Dodge,Grand Caravan,283 hp,260 lb-ft,Automatic,FWD,20 mpg,4 or 5,"$28,530-$34,490",1984-2020,Van,Gas V6,6
Dodge,Challenger SRT Demon,840 hp,770 lb-ft,Automatic,RWD,13 mpg,2,"$84,995",2018,Coupe,Gas V8,8
Dodge,Viper,645-640 hp,600-600 lb-ft,Manual,RWD,13-21 mpg,2,"$87,895-$90,390",1992-2017,Coupe/Convertible,Gas V10,10
Bugatti,Chiron,"1,500 hp","1,180 lb-ft",7-speed dual-clutch automatic,All-wheel drive,11 mpg,2,"$3,000,000",2016-Present,Coupe,W16,16
Bugatti,Veyron,"1,001 hp",750 lb-ft,7-speed dual-clutch automatic,All-wheel drive,9 mpg,2,"$1,700,000",2005-2015,Coupe,W16,16
Bugatti,EB 110,552 hp,451 lb-ft,4-speed automatic,All-wheel drive,13 mpg,2,"$1,100,000",1991-1995,Coupe,W16,16
Bugatti,EB 110 SS,611 hp,451 lb-ft,4-speed automatic,All-wheel drive,13 mpg,2,"$1,300,000",1993-1995,Coupe,W16,16
Maserati,Ghibli,345 hp,369 lb-ft,8-speed shiftable automatic,RWD,19/26 mpg,4,"$74,390",2014 - present,Sedan,Twin-turbocharged V6,6
Maserati,Quattroporte,424 hp,428 lb-ft,8-speed shiftable automatic,RWD,16/23 mpg,4,"$102,390",2013 - present,Sedan,Twin-turbocharged V6 or V8,6 or 8
Maserati,Levante,345 hp,369 lb-ft,8-speed shiftable automatic,AWD,16/22 mpg,4,"$77,890",2017 - present,SUV,Twin-turbocharged V6,6
Maserati,GranTurismo,454 hp,384 lb-ft,6-speed shiftable automatic,RWD,13/20 mpg,2,"$134,300",2008 - present,Coupe/Convertible,Naturally aspirated V8,8
Lancia,Stratos HF,190 hp,166 lb-ft,5-speed manual,Rear-wheel drive,N/A,2,N/A,1973-1978,Coupe,2.4L V6,6
Lancia,Delta Integrale,215 hp,231 lb-ft,5-speed manual,All-wheel drive,N/A,5,N/A,1987-1994,Hatchback,2.0L turbocharged inline-4,4
Lancia,Thema 8.32,215 hp,213 lb-ft,5-speed manual,Front-wheel drive,N/A,4,N/A,1986-1994,Sedan,3.0L V8,8
Lancia,Aurelia B24,118 hp,136 lb-ft,4-speed manual,Rear-wheel drive,N/A,2,N/A,1954-1955,"Coupe, Convertible",2.5L V6,6
Lancia,Fulvia,115 hp,108 lb-ft,5-speed manual,Front-wheel drive,N/A,2,N/A,1963-1976,Coupe,1.3L inline-4,4
Pagani,Huayra,730 hp,738 lb-ft,7-speed sequential manual,Rear-wheel drive,12 mpg,2,$2.6 million,2011-Present,Coupe,V12,12
Pagani,Zonda,760 hp,780 lb-ft,6-speed sequential manual,Rear-wheel drive,10 mpg,2,$1.5 million,1999-2015,Coupe,V12,12
Pagani,Huayra BC,789 hp,811 lb-ft,7-speed sequential manual,Rear-wheel drive,11 mpg,2,$3.0 million,2016-2018,Coupe,V12,12
Pagani,Huayra R,851 hp,811 lb-ft,7-speed sequential manual,Rear-wheel drive,11 mpg,2,$2.6 million,2017-Present,Track Car,V12,12
Pagani,Huayra Imola,827 hp,821 lb-ft,7-speed sequential manual,Rear-wheel drive,11 mpg,2,$3.2 million,2020-Present,Coupe,V12,12
Koenigsegg,Gemera,"1,700 hp","1,700 lb-ft",9-speed multi-clutch automatic,All-wheel drive,20 mpg,4,$1.7 million,2022-Present,4-seater,Twin-turbocharged V8 + 3 electric motors,8
Koenigsegg,Jesko,"1,600 hp","1,280 lb-ft",9-speed multi-clutch automatic,Rear-wheel drive,10 mpg,2,$2.8 million,2022-Present,Coupe,V8,8
Koenigsegg,Regera,"1,500 hp","1,100 lb-ft",Koenigsegg Direct Drive,All-wheel drive,11 mpg,2,$2.2 million,2016-Present,Coupe,V8,8
Koenigsegg,Agera RS,"1,176 hp","1,170 lb-ft",7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$2.5 million,2015-2018,Coupe,V8,8
Koenigsegg,One:1,"1,360 hp","1,371 lb-ft",7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$2.5 million,2014-2016,Coupe,V8,8
Koenigsegg,Agera S,"1,140 hp","1,100 lb-ft",7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$1.5 million,2013-2014,Coupe,V8,8
Koenigsegg,Agera R,"1,115 hp","1,100 lb-ft",7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$1.6 million,2011-2013,Coupe,V8,8
Koenigsegg,CCXR Trevita,"1,018 hp",885 lb-ft,7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$4.8 million,2007-2008,Coupe,V8,8
Koenigsegg,CCX,806 hp,752 lb-ft,7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$1.1 million,2006-2007,Coupe,V8,8
Koenigsegg,CCXR,806 hp,885 lb-ft,7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$1.6 million,2007-2008,Coupe,V8,8
Koenigsegg,CC,806 hp,752 lb-ft,6-speed manual,Rear-wheel drive,9 mpg,2,"$600,000",2002-2004,Coupe,V8,8
Koenigsegg,CC8S,806 hp,752 lb-ft,6-speed manual,Rear-wheel drive,9 mpg,2,"$750,000",2004-2006,Coupe,V8,8
Genesis,G70,300 hp,295 lb-ft,8-speed automatic,Rear-wheel drive,23/32 mpg,4,"Starting at $35,900",2019-Present,Sedan,Inline-4,4
Genesis,G80,375 hp,391 lb-ft,8-speed automatic,Rear-wheel drive or all-wheel drive,19/29 mpg,4,"Starting at $47,700",2020-Present,Sedan,V6,6
Genesis,GV70,300 hp,295 lb-ft,8-speed automatic,Rear-wheel drive or all-wheel drive,22/29 mpg,5,"Starting at $42,250",2022-Present,SUV,Inline-4,4
Genesis,GV80,375 hp,391 lb-ft,8-speed automatic,All-wheel drive,19/27 mpg,5,"Starting at $47,700",2021-Present,SUV,V6,6
Genesis,GV90,375 hp,391 lb-ft,8-speed automatic,All-wheel drive,18/26 mpg,7,"Starting at $77,900",2023-Present,SUV,V6,6
Polestar,Polestar 1,619 hp,738 lb-ft,Automatic,AWD,58 MPGe,2,"$155,000",2021-2022,Coupe,Electric,0
Polestar,Polestar 2,408 hp,487 lb-ft,Single-speed direct drive,AWD,92 MPGe,4,"$59,900",2021-2022,Crossover,Electric,0
Polestar,Polestar 3,476 hp,502 lb-ft,Single-speed automatic,All-wheel drive,111 MPGe,5,"Starting at $61,900",2022-Present,Sedan,Electric,0
Lucid Motors,Lucid Air,819 hp,908 lb-ft,Single-speed automatic,All-wheel drive,520 miles,5,"Starting at $77,400",2022-Present,Sedan,Electric,0
Lucid Motors,Lucid Air Dream Edition Performance,"1,111 hp","1,341 lb-ft",Single-speed automatic,All-wheel drive,483 miles,5,"Starting at $169,000",2022-Present,Sedan,Electric,0
Rivian,R1T,835 hp,908 lb-ft,4-motor all-wheel drive,0-60 mph in 3 seconds,314 miles,5,"Starting at $67,500",2022-Present,Pickup truck,Electric,0
Rivian,R1S,835 hp,908 lb-ft,4-motor all-wheel drive,0-60 mph in 3 seconds,314 miles,5,"Starting at $70,000",2022-Present,SUV,Electric,0
Faraday Future,FF 91,1050 hp,1000 lb-ft,Single-speed automatic,All-wheel drive,405 miles,5,"Starting at $180,000",2023-Present,SUV,Electric,0
Faraday Future,FF 91,1050 hp,1000 lb-ft,Single-speed automatic,All-wheel drive,405 miles,5,"Starting at $180,000",2023-Present,SUV,Electric,0
Alpina,B3,455 hp,516 lb-ft,8-speed automatic,All-wheel drive,20/27 mpg,4,"Starting at $74,900",2023-Present,Sedan,Twin-turbocharged inline-6,6
Alpina,B4,533 hp,553 lb-ft,8-speed automatic,All-wheel drive,19/26 mpg,5,"Starting at $84,900",2023-Present,Wagon,Twin-turbocharged inline-6,6
Alpina,B5,533 hp,553 lb-ft,8-speed automatic,All-wheel drive,19/26 mpg,5,"Starting at $94,900",2023-Present,Sedan,Twin-turbocharged inline-6,6
Alpina,B7,612 hp,590 lb-ft,8-speed automatic,All-wheel drive,17/24 mpg,5,"Starting at $139,900",2023-Present,Sedan,Twin-turbocharged V8,8
Alpina,XB7,612 hp,590 lb-ft,8-speed automatic,All-wheel drive,17/24 mpg,7,"Starting at $149,900",2023-Present,SUV,Twin-turbocharged V8,8
Cadillac,CT4,237 hp,295 lb-ft,8-speed automatic,Rear-wheel drive,22/32 mpg,4,"Starting at $33,295",2023-Present,Sedan,Turbocharged inline-4,4
Cadillac,CT4-V,325 hp,380 lb-ft,10-speed automatic,All-wheel drive,19/29 mpg,4,"Starting at $46,295",2023-Present,Sedan,Twin-turbocharged inline-4,4
Cadillac,CT5,237 hp,295 lb-ft,8-speed automatic,Rear-wheel drive,22/32 mpg,4,"Starting at $39,995",2023-Present,Sedan,Turbocharged inline-4,4
Cadillac,CT5-V,360 hp,405 lb-ft,10-speed automatic,All-wheel drive,18/28 mpg,4,"Starting at $55,795",2023-Present,Sedan,Twin-turbocharged V6,6
Cadillac,CT5-V Blackwing,668 hp,659 lb-ft,6-speed manual,Rear-wheel drive,16/25 mpg,2,"Starting at $84,995",2023-Present,Sedan,Naturally aspirated V8,8
Cadillac,Escalade,420 hp,460 lb-ft,10-speed automatic,All-wheel drive,17/25 mpg,4,"Starting at $76,295",2023-Present,SUV,V8,8
Cadillac,XT4,237 hp,295 lb-ft,9-speed automatic,Front-wheel drive or all-wheel drive,23/30 mpg,5,"Starting at $35,795",2023-Present,SUV,Turbocharged inline-4,4
Cadillac,XT5,237 hp,295 lb-ft,9-speed automatic,Front-wheel drive or all-wheel drive,21/28 mpg,5,"Starting at $41,795",2023-Present,SUV,Turbocharged inline-4,4
Cadillac,XT6,310 hp,271 lb-ft,10-speed automatic,All-wheel drive,19/26 mpg,7,"Starting at $59,995",2023-Present,SUV,Twin-turbocharged V6,6
Caterham,Seven 170,170 hp,127 lb-ft,5-speed manual,Rear-wheel drive,36 mpg (city)/44 mpg (highway),2,"Starting at £27,995",2023-Present,Sports car,4-cylinder,4
Caterham,Seven 270,270 hp,177 lb-ft,6-speed manual,Rear-wheel drive,32 mpg (city)/40 mpg (highway),2,"Starting at £31,995",2023-Present,Sports car,4-cylinder,4
Caterham,Seven 360,360 hp,221 lb-ft,6-speed manual,Rear-wheel drive,29 mpg (city)/37 mpg (highway),2,"Starting at £36,995",2023-Present,Sports car,4-cylinder,4
Caterham,Seven 420,420 hp,265 lb-ft,6-speed manual,Rear-wheel drive,27 mpg (city)/35 mpg (highway),2,"Starting at £41,995",2023-Present,Sports car,4-cylinder,4
Caterham,Seven 620,620 hp,321 lb-ft,6-speed manual,Rear-wheel drive,25 mpg (city)/33 mpg (highway),2,"Starting at £54,995",2023-Present,Sports car,4-cylinder,4
Chrysler,300,363 hp,394 lb-ft,8-speed automatic,Rear-wheel drive or all-wheel drive,19/31 mpg,4,"Starting at $32,145",2023-Present,Sedan,V6,6
Chrysler,Pacifica,287 hp,262 lb-ft,9-speed automatic,Front-wheel drive or all-wheel drive,19/29 mpg,3,"Starting at $32,995",2023-Present,Minivan,V6,6
Chrysler,Voyager,287 hp,262 lb-ft,9-speed automatic,Front-wheel drive or all-wheel drive,19/29 mpg,4,"Starting at $26,995",2023-Present,Minivan,V6,6
Chrysler,Pacifica Hybrid,260 hp,253 lb-ft,eCVT,Front-wheel drive,84 MPGe,4,"Starting at $45,995",2023-Present,Minivan,Hybrid,4
Fisker,Ocean,275 hp,450 lb-ft,Single-speed direct drive,Rear-wheel drive,350 miles,5,"Starting at $37,499",2023-Present,SUV,Electric,0
Fisker,Pear,350 hp,516 lb-ft,Single-speed direct drive,Rear-wheel drive,310 miles,4,"Starting at $29,999",2023-Present,Sedan,Electric,0
Infiniti,QX50,268 hp,280 lb-ft,9-speed automatic,Front-wheel drive or all-wheel drive,22/29 mpg,5,"Starting at $37,400",2023-Present,SUV,4-cylinder,4
Infiniti,QX60,295 hp,270 lb-ft,9-speed automatic,Front-wheel drive or all-wheel drive,20/26 mpg,7,"Starting at $45,900",2023-Present,SUV,V6,6
Infiniti,QX80,400 hp,400 lb-ft,7-speed automatic,All-wheel drive,14/19 mpg,4,"Starting at $72,900",2023-Present,SUV,V8,8
Infiniti,Q50,300 hp,295 lb-ft,7-speed automatic,Rear-wheel drive or all-wheel drive,20/27 mpg,4,"Starting at $36,900",2023-Present,Sedan,V6,6
Infiniti,Q60,300 hp,295 lb-ft,7-speed automatic,Rear-wheel drive or all-wheel drive,19/27 mpg,2,"Starting at $41,900",2023-Present,Coupe,V6,6
Infiniti,QX70,390 hp,369 lb-ft,7-speed automatic,All-wheel drive,15/20 mpg,5,"Starting at $62,900",2023-Present,SUV,V8,8
Infiniti,QX70 Hybrid,360 hp,273 lb-ft,Continuously variable automatic,All-wheel drive,23/28 mpg,5,"Starting at $68,900",2023-Present,SUV,Hybrid,V6
Isuzu,Ascender,281 hp,307 lb-ft,6-speed automatic,All-wheel drive,16/23 mpg,4,"Starting at $40,520",2016-Present,SUV,V6,6
Isuzu,D-Max,302 hp,236 lb-ft,6-speed automatic,Rear-wheel drive or 4-wheel drive,20/24 mpg,5,"Starting at $25,620",2016-Present,Pickup Truck,Diesel,4
Isuzu,MU-X,255 hp,236 lb-ft,6-speed automatic,4-wheel drive,18/23 mpg,5,"Starting at $39,990",2016-Present,SUV,Diesel,4
Isuzu,NPR,215 hp,430 lb-ft,6-speed manual,Rear-wheel drive or 4-wheel drive,17/22 mpg,3,"Starting at $31,320",2016-Present,Truck,Diesel,6
Isuzu,NQR,181 hp,401 lb-ft,6-speed manual,Rear-wheel drive or 4-wheel drive,18/22 mpg,3,"Starting at $25,120",2016-Present,Truck,Diesel,4
Isuzu,FTR,181 hp,401 lb-ft,6-speed manual,Rear-wheel drive or 4-wheel drive,18/22 mpg,3,"Starting at $33,920",2016-Present,Truck,Diesel,4
Lotus,Emira,400 hp,310 lb-ft,8-speed automatic,Rear-wheel drive,23/30 mpg,2,"Starting at $72,900",2023-Present,Sports car,V6,6
Lotus,Elise,250 hp,184 lb-ft,6-speed manual,Rear-wheel drive,27/35 mpg,2,"Starting at $59,900",2023-Present,Sports car,4-cylinder,4
Lotus,Exige,300 hp,260 lb-ft,6-speed manual,Rear-wheel drive,23/30 mpg,2,"Starting at $71,900",2023-Present,Sports car,V6,6
Lotus,Evija,"2,000 hp","1,250 lb-ft",Single-speed direct drive,Rear-wheel drive,180 miles,2,Starting at $1.9 million,2023-Present,Electric hypercar,Electric,0
Morgan,Aero 8,367 hp,295 lb-ft,6-speed manual,Rear-wheel drive,19/29 mpg,2,"Starting at $120,000",2023-Present,Sports car,V8,8
Morgan,Plus 4,180 hp,163 lb-ft,5-speed manual,Rear-wheel drive,26/35 mpg,2,"Starting at $79,995",2023-Present,Sports car,4-cylinder,4
Morgan,Plus 6,335 hp,280 lb-ft,6-speed manual,Rear-wheel drive,21/29 mpg,2,"Starting at $109,995",2023-Present,Sports car,V6,6
Morgan,Roadster,180 hp,163 lb-ft,5-speed manual,Rear-wheel drive,26/35 mpg,2,"Starting at $79,995",2023-Present,Sports car,4-cylinder,4
Morgan,Super 3,170 hp,127 lb-ft,5-speed manual,Rear-wheel drive,36 mpg (city)/44 mpg (highway),2,"Starting at £34,995",2023-Present,Sports car,3-cylinder,3
Smart,Fortwo,89 hp,128 lb-ft,5-speed automatic,Front-wheel drive,34 mpg (city)/41 mpg (highway),2,"Starting at $22,450",2023-Present,City car,3-cylinder,1
Smart,Forfour,91 hp,128 lb-ft,6-speed automatic,Front-wheel drive,33 mpg (city)/40 mpg (highway),4,"Starting at $24,450",2023-Present,City car,3-cylinder,1
Suzuki,Across,335 hp,369 lb-ft,CVT,All-wheel drive,25 mpg (city)/28 mpg (highway),5,"Starting at $44,990",2023-Present,SUV,Hybrid,4
Suzuki,Baleno,110 hp,113 lb-ft,5-speed manual or CVT,Front-wheel drive,31 mpg (city)/42 mpg (highway),5,"Starting at $15,299",2023-Present,Hatchback,4-cylinder,4
Suzuki,Celerio,68 hp,67 lb-ft,5-speed manual or AMT,Front-wheel drive,37 mpg (city)/47 mpg (highway),5,"Starting at $14,499",2023-Present,Hatchback,3-cylinder,1
Suzuki,Ciaz,115 hp,113 lb-ft,4-speed automatic,Front-wheel drive,32 mpg (city)/42 mpg (highway),4,"Starting at $18,499",2023-Present,Sedan,4-cylinder,4
Suzuki,Jimny,101 hp,96 lb-ft,5-speed manual,4-wheel drive,23 mpg (city)/28 mpg (highway),3,"Starting at $21,299",2023-Present,SUV,4-cylinder,4
Suzuki,S-Cross,148 hp,132 lb-ft,6-speed automatic,All-wheel drive,28 mpg (city)/33 mpg (highway),5,"Starting at $25,299",2023-Present,Crossover,4-cylinder,4
Suzuki,Swift,103 hp,101 lb-ft,5-speed manual or CVT,Front-wheel drive,32 mpg (city)/40 mpg (highway),5,"Starting at $16,299",2023-Present,Hatchback,4-cylinder,4
Suzuki,Vitara,148 hp,132 lb-ft,6-speed automatic,All-wheel drive,28 mpg (city)/33 mpg (highway),5,"Starting at $26,299",2023-Present,SUV,4-cylinder,4
Suzuki,XL7,181 hp,184 lb-ft,6-speed automatic,All-wheel drive,23 mpg (city)/30 mpg (highway),7,"Starting at $29,299",2023-Present,SUV,4-cylinder,4
Vauxhall,Corsa,108 hp,127 lb-ft,5-speed manual or 8-speed automatic,Front-wheel drive,32 mpg (city)/42 mpg (highway),5,"Starting at £15,995",2023-Present,Hatchback,3-cylinder,1
Vauxhall,Crossland,108 hp,127 lb-ft,8-speed automatic,Front-wheel drive,34 mpg (city)/42 mpg (highway),5,"Starting at £20,495",2023-Present,Crossover,3-cylinder,1
Vauxhall,Grandland,177 hp,207 lb-ft,8-speed automatic,Front-wheel drive or all-wheel drive,30 mpg (city)/40 mpg (highway),5,"Starting at £24,495",2023-Present,SUV,4-cylinder,4
Vauxhall,Insignia,177 hp,207 lb-ft,8-speed automatic,Front-wheel drive or all-wheel drive,31 mpg (city)/40 mpg (highway),5,"Starting at £25,495",2023-Present,Sedan,4-cylinder,4
Vauxhall,Mokka,138 hp,174 lb-ft,8-speed automatic,Front-wheel drive or all-wheel drive,32 mpg (city)/40 mpg (highway),5,"Starting at £20,495",2023-Present,SUV,3-cylinder,1
Vauxhall,Vivaro,130 hp,236 lb-ft,8-speed automatic,Front-wheel drive or all-wheel drive,25 mpg (city)/35 mpg (highway),5,"Starting at £24,595",2023-Present,Van,4-cylinder,4
Vauxhall,Combo-Life,130 hp,236 lb-ft,8-speed automatic,Front-wheel drive or all-wheel drive,26 mpg (city)/37 mpg (highway),5,"Starting at £22,595",2023-Present,MPV,4-cylinder,4
Zagato,Aston Martin DB4 GT Zagato,318 PS (314 bhp - 234 kW),377.0 Nm (278 lb. ft) at 4000 rpm,4 speed Manual,Rear-wheel drive,19/29 mpg,2,"Starting at £1,000,000",1961-1962,Coupé,Inline 6,6
